,nodeA,nodeB,weight
77,Christopher Steele,Graham,3
78,George Papadopoulos,Graham,3
79,Graham,Hillary Clinton,3
80,Mueller,Mueller,161
81,Christopher Steele,Mueller,11
82,George Papadopoulos,Mueller,27
83,Hillary Clinton,Mueller,75
84,Christopher Steele,George Papadopoulos,1
85,Christopher Steele,Hillary Clinton,12
86,George Papadopoulos,Hillary Clinton,15
87,George Papadopoulos,Papadopoulos,87
88,Alexander Downer,George Papadopoulos,1
89,Donald Trump,George Papadopoulos,27
90,Abdel Fattah al-Sisi,George Papadopoulos,1
91,George Papadopoulos,Ty Cobb,1
92,Hillary Clinton,Papadopoulos,59
93,Alexander Downer,Hillary Clinton,1
94,Donald Trump,Hillary Clinton,163
95,Abdel Fattah al-Sisi,Hillary Clinton,1
96,Hillary Clinton,Ty Cobb,6
97,Alexander Downer,Papadopoulos,6
98,Papadopoulos,Papadopoulos,357
99,Donald Trump,Papadopoulos,100
100,Abdel Fattah al-Sisi,Papadopoulos,6
101,Papadopoulos,Robert Mueller,78
102,Papadopoulos,Trump,119
103,Papadopoulos,Ty Cobb,6
104,Alexander Downer,Donald Trump,1
105,Abdel Fattah al-Sisi,Alexander Downer,1
106,Alexander Downer,Robert Mueller,1
107,Alexander Downer,Trump,1
108,Alexander Downer,Ty Cobb,1
109,Abdel Fattah al-Sisi,Donald Trump,3
110,Donald Trump,Robert Mueller,159
111,Donald Trump,Trump,871
112,Donald Trump,Ty Cobb,9
113,Abdel Fattah al-Sisi,Robert Mueller,1
114,Abdel Fattah al-Sisi,Trump,2
115,Abdel Fattah al-Sisi,Ty Cobb,1
116,Robert Mueller,Ty Cobb,9
117,Trump,Ty Cobb,12
118,Donald Trump,Package,1
119,Donald Trump,Jeff Bezos,1
120,Bezos,Donald Trump,1
121,Daniel Ives,Donald Trump,1
122,Donald Trump,Jindel,1
123,Donald Trump,Steve Gaut,1
124,Jeff Bezos,Package,1
125,Bezos,Package,1
126,Daniel Ives,Package,1
127,Jindel,Package,1
128,Package,Steve Gaut,1
129,Bezos,Jeff Bezos,1
130,Daniel Ives,Jeff Bezos,1
131,Jeff Bezos,Jindel,1
132,Jeff Bezos,Steve Gaut,1
133,Bezos,Daniel Ives,1
134,Bezos,Jindel,1
135,Bezos,Steve Gaut,1
136,Daniel Ives,Jindel,1
137,Daniel Ives,Steve Gaut,1
138,Jindel,Steve Gaut,1
139,Donald Trump,Mick Mulvaney,34
140,Donald Trump,Marc Short,16
141,Donald Trump,Mitch McConnell,125
142,Chuck Schumer,Donald Trump,97
143,Donald Trump,Nancy Pelosi,76
144,Donald Trump,McConnell,126
145,Donald Trump,Jeff Flake,27
146,Marc Short,Mick Mulvaney,2
147,Mick Mulvaney,Mitch McConnell,6
148,Mick Mulvaney,Paul Ryan,5
149,Chuck Schumer,Mick Mulvaney,6
150,Mick Mulvaney,Nancy Pelosi,2
151,McConnell,Mick Mulvaney,5
152,Mick Mulvaney,Ryan,2
153,Barack Obama,Mick Mulvaney,7
154,Mick Mulvaney,Trump,21
155,Jeff Flake,Mick Mulvaney,1
156,Marc Short,Mitch McConnell,2
157,Marc Short,Paul Ryan,5
158,Chuck Schumer,Marc Short,5
159,Marc Short,Nancy Pelosi,8
160,Marc Short,McConnell,1
161,Marc Short,Ryan,5
162,Barack Obama,Marc Short,5
163,Marc Short,Trump,20
164,Jeff Flake,Marc Short,3
165,Mitch McConnell,Paul Ryan,40
166,Chuck Schumer,Mitch McConnell,35
167,Mitch McConnell,Nancy Pelosi,22
168,McConnell,Mitch McConnell,155
169,Mitch McConnell,Ryan,34
170,Barack Obama,Mitch McConnell,37
171,Mitch McConnell,Trump,102
172,Jeff Flake,Mitch McConnell,9
173,Chuck Schumer,Paul Ryan,26
174,Nancy Pelosi,Paul Ryan,36
175,McConnell,Paul Ryan,54
176,Barack Obama,Paul Ryan,23
177,Paul Ryan,Trump,70
178,Jeff Flake,Paul Ryan,3
179,Chuck Schumer,Nancy Pelosi,54
180,Chuck Schumer,McConnell,49
181,Chuck Schumer,Ryan,19
182,Barack Obama,Chuck Schumer,36
183,Chuck Schumer,Trump,70
184,Chuck Schumer,Jeff Flake,5
185,McConnell,Nancy Pelosi,25
186,Nancy Pelosi,Ryan,33
187,Barack Obama,Nancy Pelosi,25
188,Nancy Pelosi,Trump,64
189,Jeff Flake,Nancy Pelosi,4
190,McConnell,Ryan,46
191,Barack Obama,McConnell,26
192,McConnell,Trump,135
193,Jeff Flake,McConnell,9
194,Barack Obama,Ryan,32
195,Ryan,Trump,63
196,Jeff Flake,Ryan,1
197,Barack Obama,Trump,247
198,Barack Obama,Jeff Flake,9
199,Jeff Flake,Trump,19
200,Donald Trump,Rod Rosenstein,18
201,Donald Trump,Mueller,148
202,David Perdue,Donald Trump,4
203,Donald Trump,Wilbur Ross,18
204,Donald Trump,Justin Trudeau,9
205,Robert Mueller,Rod Rosenstein,15
206,David Perdue,Robert Mueller,1
207,Robert Mueller,Wilbur Ross,1
208,Justin Trudeau,Robert Mueller,1
209,Hillary Clinton,Rod Rosenstein,10
210,David Perdue,Hillary Clinton,1
211,Hillary Clinton,Wilbur Ross,1
212,Hillary Clinton,Justin Trudeau,1
213,Mueller,Rod Rosenstein,34
214,David Perdue,Rod Rosenstein,1
215,Rod Rosenstein,Wilbur Ross,1
216,Justin Trudeau,Rod Rosenstein,1
217,David Perdue,Mueller,2
218,Mueller,Wilbur Ross,2
219,Justin Trudeau,Mueller,2
220,David Perdue,Wilbur Ross,1
221,David Perdue,Justin Trudeau,1
222,Justin Trudeau,Wilbur Ross,2
223,Obama,Trump,35
224,Doug Jones,John Merrill,3
225,John Merrill,Roy Moore,3
226,John Merrill,Moore,10
227,Doug Jones,Roy Moore,70
228,Doug Jones,Moore,404
229,Moore,Roy Moore,693
230,Doug Jones,Jones,100
231,Doug Jones,Jeff Sessions,17
232,Donald Trump,Doug Jones,58
233,Doug Jones,Kay Ivey,4
234,Doug Jones,Steve Marshall,2
235,Jones,Roy Moore,133
236,Jeff Sessions,Roy Moore,34
237,Donald Trump,Roy Moore,98
238,Kay Ivey,Roy Moore,5
239,Roy Moore,Steve Marshall,2
240,Jeff Sessions,Jones,37
241,Donald Trump,Jones,112
242,John Merrill,Jones,5
243,Jones,Kay Ivey,13
244,Jones,Steve Marshall,5
245,Jones,Jones,184
246,Jones,Moore,905
247,Donald Trump,Jeff Sessions,77
248,Jeff Sessions,John Merrill,1
249,Jeff Sessions,Kay Ivey,2
250,Jeff Sessions,Steve Marshall,1
251,Jeff Sessions,Moore,223
252,Donald Trump,John Merrill,2
253,Donald Trump,Kay Ivey,5
254,Donald Trump,Steve Marshall,2
255,Donald Trump,Moore,486
256,John Merrill,Kay Ivey,2
257,John Merrill,Steve Marshall,2
258,Kay Ivey,Steve Marshall,2
259,Kay Ivey,Moore,37
260,Moore,Steve Marshall,9
261,Moore,Moore,2661
262,Andrew Cuomo,Donald Trump,5
263,Andrew Cuomo,Trump,3
264,Andrew Cuomo,Cuomo,16
265,Andrew Cuomo,Jerry Brown,3
266,Andrew Cuomo,Joseph Callahan,1
267,Andrew Cuomo,David Gamage,2
268,Cuomo,Donald Trump,10
269,Donald Trump,Jerry Brown,9
270,Donald Trump,Joseph Callahan,1
271,David Gamage,Donald Trump,2
272,Cuomo,Trump,8
273,Jerry Brown,Trump,3
274,Joseph Callahan,Trump,1
275,David Gamage,Trump,1
276,Cuomo,Cuomo,39
277,Cuomo,Jerry Brown,10
278,Cuomo,Joseph Callahan,8
279,Cuomo,David Gamage,8
280,Jerry Brown,Joseph Callahan,1
281,David Gamage,Jerry Brown,2
282,David Gamage,Joseph Callahan,1
283,Crooked H. Anna Wintour,Donald Trump,1
284,Trump,Trump,490
285,Bernie Woodall,Strong,1
286,Steven Mnuchin,Strong,1
287,Donald Trump,Strong,1
288,Robert Strong,Strong,1
289,Mnuchin,Strong,3
290,LAPD,Strong,1
291,Rob Weise,Strong,1
292,Bernie Woodall,Steven Mnuchin,1
293,Bernie Woodall,Donald Trump,1
294,Bernie Woodall,Robert Strong,1
295,Bernie Woodall,Mnuchin,3
296,Bernie Woodall,LAPD,1
297,Bernie Woodall,Rob Weise,1
298,Donald Trump,Steven Mnuchin,41
299,Robert Strong,Steven Mnuchin,1
300,Mnuchin,Steven Mnuchin,68
301,LAPD,Steven Mnuchin,2
302,Rob Weise,Steven Mnuchin,1
303,Donald Trump,Robert Strong,1
304,Donald Trump,Mnuchin,62
305,Donald Trump,LAPD,2
306,Donald Trump,Rob Weise,1
307,Mnuchin,Robert Strong,3
308,LAPD,Robert Strong,1
309,Rob Weise,Robert Strong,1
310,Mnuchin,Mnuchin,73
311,LAPD,Mnuchin,4
312,Mnuchin,Rob Weise,3
313,LAPD,Rob Weise,1
314,David Yancey,Shelly Simonds,5
315,Shelly Simonds,Simonds,8
316,Shelly Simonds,Yancey,6
317,James Alcorn,Shelly Simonds,1
318,Parker Slaybaugh,Shelly Simonds,1
319,Andrea Gaines,Shelly Simonds,1
320,Donald Trump,Shelly Simonds,4
321,David Yancey,Simonds,10
322,David Yancey,Yancey,7
323,David Yancey,James Alcorn,1
324,David Yancey,Parker Slaybaugh,1
325,Andrea Gaines,David Yancey,1
326,David Yancey,Donald Trump,4
327,Simonds,Simonds,6
328,Simonds,Yancey,13
329,James Alcorn,Simonds,3
330,Parker Slaybaugh,Simonds,3
331,Andrea Gaines,Simonds,3
332,Donald Trump,Simonds,7
333,James Alcorn,Yancey,2
334,Yancey,Yancey,2
335,Parker Slaybaugh,Yancey,2
336,Andrea Gaines,Yancey,2
337,Donald Trump,Yancey,5
338,James Alcorn,Parker Slaybaugh,1
339,Andrea Gaines,James Alcorn,1
340,Donald Trump,James Alcorn,1
341,Andrea Gaines,Parker Slaybaugh,1
342,Donald Trump,Parker Slaybaugh,1
343,Andrea Gaines,Donald Trump,2
344,Donald Trump,Donald Trump Jr.,27
345,Donald Trump,Donald Trump,62
346,Donald Trump,Irakly Kaveladze,2
347,Aras Agalarov,Donald Trump,4
348,Donald Trump,Kaveladze,4
349,Agalarov,Donald Trump,4
350,Donald Trump,Scott Balber,2
351,Donald Trump,Jared Kushner,39
352,Donald Trump,Veselnitskaya,12
353,Donald Trump,Lawyer Balber,2
354,Donald Trump,Trump Jr.,28
355,Donald Trump,Kushner,57
356,Donald Trump,Emin,2
357,Donald Trump,Emin Agalarov,2
358,Donald Trump,Scott Stedman,2
359,Donald Trump,Vladimir Putin,49
360,Donald Trump,Putin,45
361,Donald Trump,Rob Goldstone,2
362,Clinton,Donald Trump,182
363,Donald Trump Jr.,Robert Mueller,17
364,Donald Trump Jr.,Irakly Kaveladze,1
365,Aras Agalarov,Donald Trump Jr.,2
366,Donald Trump Jr.,Kaveladze,2
367,Agalarov,Donald Trump Jr.,2
368,Donald Trump Jr.,Trump,24
369,Donald Trump Jr.,Mueller,10
370,Donald Trump Jr.,Scott Balber,1
371,Donald Trump Jr.,Jared Kushner,15
372,Donald Trump Jr.,Veselnitskaya,19
373,Donald Trump Jr.,Lawyer Balber,1
374,Donald Trump Jr.,Trump Jr.,28
375,Donald Trump Jr.,Kushner,10
376,Donald Trump Jr.,Emin,1
377,Donald Trump Jr.,Emin Agalarov,1
378,Donald Trump Jr.,Scott Stedman,1
379,Donald Trump Jr.,Vladimir Putin,3
380,Donald Trump Jr.,Putin,6
381,Donald Trump Jr.,Rob Goldstone,1
382,Donald Trump Jr.,Hillary Clinton,13
383,Clinton,Donald Trump Jr.,17
384,Irakly Kaveladze,Robert Mueller,1
385,Aras Agalarov,Robert Mueller,2
386,Kaveladze,Robert Mueller,2
387,Agalarov,Robert Mueller,2
388,Robert Mueller,Scott Balber,1
389,Jared Kushner,Robert Mueller,19
390,Robert Mueller,Veselnitskaya,5
391,Lawyer Balber,Robert Mueller,1
392,Robert Mueller,Trump Jr.,13
393,Kushner,Robert Mueller,29
394,Emin,Robert Mueller,1
395,Emin Agalarov,Robert Mueller,1
396,Robert Mueller,Scott Stedman,1
397,Robert Mueller,Vladimir Putin,18
398,Putin,Robert Mueller,16
399,Rob Goldstone,Robert Mueller,1
400,Clinton,Robert Mueller,63
401,Aras Agalarov,Irakly Kaveladze,2
402,Irakly Kaveladze,Kaveladze,2
403,Agalarov,Irakly Kaveladze,2
404,Irakly Kaveladze,Trump,3
405,Irakly Kaveladze,Mueller,2
406,Irakly Kaveladze,Scott Balber,1
407,Irakly Kaveladze,Jared Kushner,1
408,Irakly Kaveladze,Veselnitskaya,4
409,Irakly Kaveladze,Lawyer Balber,1
410,Irakly Kaveladze,Trump Jr.,2
411,Irakly Kaveladze,Kushner,1
412,Emin,Irakly Kaveladze,1
413,Emin Agalarov,Irakly Kaveladze,1
414,Irakly Kaveladze,Scott Stedman,1
415,Irakly Kaveladze,Vladimir Putin,1
416,Irakly Kaveladze,Putin,1
417,Irakly Kaveladze,Rob Goldstone,1
418,Hillary Clinton,Irakly Kaveladze,1
419,Clinton,Irakly Kaveladze,1
420,Aras Agalarov,Kaveladze,4
421,Agalarov,Aras Agalarov,4
422,Aras Agalarov,Trump,6
423,Aras Agalarov,Mueller,4
424,Aras Agalarov,Scott Balber,2
425,Aras Agalarov,Jared Kushner,2
426,Aras Agalarov,Veselnitskaya,8
427,Aras Agalarov,Lawyer Balber,2
428,Aras Agalarov,Trump Jr.,4
429,Aras Agalarov,Kushner,2
430,Aras Agalarov,Emin,2
431,Aras Agalarov,Emin Agalarov,2
432,Aras Agalarov,Scott Stedman,2
433,Aras Agalarov,Aras Agalarov,1
434,Aras Agalarov,Vladimir Putin,2
435,Aras Agalarov,Putin,2
436,Aras Agalarov,Rob Goldstone,2
437,Aras Agalarov,Hillary Clinton,2
438,Aras Agalarov,Clinton,2
439,Agalarov,Kaveladze,4
440,Kaveladze,Trump,6
441,Kaveladze,Mueller,4
442,Kaveladze,Scott Balber,2
443,Jared Kushner,Kaveladze,2
444,Kaveladze,Veselnitskaya,8
445,Kaveladze,Lawyer Balber,2
446,Kaveladze,Trump Jr.,4
447,Kaveladze,Kushner,2
448,Emin,Kaveladze,2
449,Emin Agalarov,Kaveladze,2
450,Kaveladze,Scott Stedman,2
451,Kaveladze,Vladimir Putin,2
452,Kaveladze,Putin,2
453,Kaveladze,Rob Goldstone,2
454,Hillary Clinton,Kaveladze,2
455,Clinton,Kaveladze,2
456,Kaveladze,Kaveladze,1
457,Agalarov,Trump,6
458,Agalarov,Mueller,4
459,Agalarov,Scott Balber,2
460,Agalarov,Jared Kushner,2
461,Agalarov,Veselnitskaya,8
462,Agalarov,Lawyer Balber,2
463,Agalarov,Trump Jr.,4
464,Agalarov,Kushner,2
465,Agalarov,Agalarov,1
466,Agalarov,Emin,2
467,Agalarov,Emin Agalarov,2
468,Agalarov,Scott Stedman,2
469,Agalarov,Vladimir Putin,2
470,Agalarov,Putin,2
471,Agalarov,Rob Goldstone,2
472,Agalarov,Hillary Clinton,2
473,Agalarov,Clinton,2
474,Scott Balber,Trump,3
475,Jared Kushner,Trump,38
476,Trump,Veselnitskaya,16
477,Lawyer Balber,Trump,3
478,Trump,Trump Jr.,29
479,Kushner,Trump,45
480,Emin,Trump,3
481,Emin Agalarov,Trump,3
482,Scott Stedman,Trump,3
483,Trump,Vladimir Putin,48
484,Putin,Trump,74
485,Rob Goldstone,Trump,3
486,Clinton,Trump,127
487,Mueller,Scott Balber,2
488,Jared Kushner,Mueller,20
489,Mueller,Veselnitskaya,9
490,Lawyer Balber,Mueller,2
491,Mueller,Trump Jr.,20
492,Kushner,Mueller,45
493,Emin,Mueller,2
494,Emin Agalarov,Mueller,2
495,Mueller,Scott Stedman,2
496,Mueller,Vladimir Putin,11
497,Mueller,Putin,8
498,Mueller,Rob Goldstone,2
499,Clinton,Mueller,107
500,Jared Kushner,Scott Balber,1
501,Scott Balber,Veselnitskaya,4
502,Lawyer Balber,Scott Balber,1
503,Scott Balber,Trump Jr.,2
504,Kushner,Scott Balber,1
505,Emin,Scott Balber,1
506,Emin Agalarov,Scott Balber,1
507,Scott Balber,Scott Stedman,1
508,Scott Balber,Vladimir Putin,1
509,Putin,Scott Balber,1
510,Rob Goldstone,Scott Balber,1
511,Hillary Clinton,Scott Balber,1
512,Clinton,Scott Balber,1
513,Jared Kushner,Veselnitskaya,6
514,Jared Kushner,Lawyer Balber,1
515,Jared Kushner,Trump Jr.,9
516,Jared Kushner,Kushner,54
517,Emin,Jared Kushner,1
518,Emin Agalarov,Jared Kushner,1
519,Jared Kushner,Scott Stedman,1
520,Jared Kushner,Vladimir Putin,6
521,Jared Kushner,Putin,5
522,Jared Kushner,Rob Goldstone,1
523,Hillary Clinton,Jared Kushner,18
524,Clinton,Jared Kushner,15
525,Lawyer Balber,Veselnitskaya,4
526,Trump Jr.,Veselnitskaya,31
527,Kushner,Veselnitskaya,6
528,Emin,Veselnitskaya,4
529,Emin Agalarov,Veselnitskaya,4
530,Scott Stedman,Veselnitskaya,4
531,Veselnitskaya,Vladimir Putin,4
532,Putin,Veselnitskaya,4
533,Rob Goldstone,Veselnitskaya,4
534,Veselnitskaya,Veselnitskaya,22
535,Hillary Clinton,Veselnitskaya,6
536,Clinton,Veselnitskaya,9
537,Lawyer Balber,Trump Jr.,2
538,Kushner,Lawyer Balber,1
539,Emin,Lawyer Balber,1
540,Emin Agalarov,Lawyer Balber,1
541,Lawyer Balber,Scott Stedman,1
542,Lawyer Balber,Vladimir Putin,1
543,Lawyer Balber,Putin,1
544,Lawyer Balber,Rob Goldstone,1
545,Hillary Clinton,Lawyer Balber,1
546,Clinton,Lawyer Balber,1
547,Kushner,Trump Jr.,10
548,Emin,Trump Jr.,2
549,Emin Agalarov,Trump Jr.,2
550,Scott Stedman,Trump Jr.,2
551,Trump Jr.,Vladimir Putin,2
552,Putin,Trump Jr.,2
553,Rob Goldstone,Trump Jr.,2
554,Trump Jr.,Trump Jr.,41
555,Hillary Clinton,Trump Jr.,19
556,Clinton,Trump Jr.,53
557,Emin,Kushner,1
558,Emin Agalarov,Kushner,1
559,Kushner,Scott Stedman,1
560,Kushner,Vladimir Putin,12
561,Kushner,Putin,2
562,Kushner,Rob Goldstone,1
563,Hillary Clinton,Kushner,30
564,Clinton,Kushner,25
565,Emin,Emin Agalarov,1
566,Emin,Scott Stedman,1
567,Emin,Vladimir Putin,1
568,Emin,Putin,1
569,Emin,Rob Goldstone,1
570,Emin,Hillary Clinton,1
571,Clinton,Emin,1
572,Emin Agalarov,Scott Stedman,1
573,Emin Agalarov,Vladimir Putin,1
574,Emin Agalarov,Putin,1
575,Emin Agalarov,Rob Goldstone,1
576,Emin Agalarov,Hillary Clinton,1
577,Clinton,Emin Agalarov,1
578,Scott Stedman,Vladimir Putin,1
579,Putin,Scott Stedman,1
580,Rob Goldstone,Scott Stedman,1
581,Hillary Clinton,Scott Stedman,1
582,Clinton,Scott Stedman,1
583,Putin,Vladimir Putin,48
584,Rob Goldstone,Vladimir Putin,1
585,Hillary Clinton,Vladimir Putin,18
586,Clinton,Vladimir Putin,9
587,Putin,Rob Goldstone,1
588,Hillary Clinton,Putin,23
589,Clinton,Putin,9
590,Hillary Clinton,Rob Goldstone,1
591,Clinton,Rob Goldstone,1
592,Clinton,Hillary Clinton,163
593,Clinton Campaign,Donald Trump,1
594,Donald Trump,this Crooked Hillary,1
595,Donald Trump,Stock Market,1
596,Clinton Campaign,this Crooked Hillary,1
597,Clinton Campaign,Stock Market,1
598,Stock Market,this Crooked Hillary,1
599,Donald Trump,Karen Henderson,1
600,Colleen Kollar-Kotelly,Donald Trump,2
601,Donald Trump,Mike Pence,72
602,Donald Trump,Kris Kobach,4
603,Donald Trump,Kobach,11
604,Donald Trump,Marc Rotenberg,1
605,Colleen Kollar-Kotelly,Karen Henderson,1
606,Karen Henderson,Mike Pence,1
607,Hillary Clinton,Karen Henderson,1
608,Karen Henderson,Kris Kobach,1
609,Karen Henderson,Kobach,1
610,Karen Henderson,Marc Rotenberg,1
611,Colleen Kollar-Kotelly,Mike Pence,1
612,Colleen Kollar-Kotelly,Hillary Clinton,1
613,Colleen Kollar-Kotelly,Kris Kobach,1
614,Colleen Kollar-Kotelly,Kobach,1
615,Colleen Kollar-Kotelly,Marc Rotenberg,1
616,Hillary Clinton,Mike Pence,11
617,Kris Kobach,Mike Pence,2
618,Kobach,Mike Pence,2
619,Marc Rotenberg,Mike Pence,1
620,Hillary Clinton,Kris Kobach,2
621,Hillary Clinton,Kobach,5
622,Hillary Clinton,Marc Rotenberg,1
623,Kobach,Kris Kobach,11
624,Kris Kobach,Marc Rotenberg,1
625,Kobach,Marc Rotenberg,1
626,Bel Air,Steven Mnuchin,2
627,KNBC,Steven Mnuchin,1
628,Bel Air,Donald Trump,2
629,Bel Air,LAPD,2
630,Bel Air,Mnuchin,2
631,Bel Air,Bel Air,1
632,Bel Air,KNBC,2
633,Donald Trump,KNBC,1
634,KNBC,LAPD,1
635,KNBC,Mnuchin,1
636,Donald Trump,James Robart,1
637,Donald Trump,Robart,4
638,Donald Trump,Mariko Hirose,1
639,Donald Trump,George W. Bush,64
640,James Robart,Trump,2
641,James Robart,Robart,4
642,James Robart,Mariko Hirose,1
643,George W. Bush,James Robart,1
644,Robart,Trump,8
645,Mariko Hirose,Trump,2
646,George W. Bush,Trump,64
647,Robart,Robart,6
648,Mariko Hirose,Robart,4
649,George W. Bush,Robart,4
650,George W. Bush,Mariko Hirose,1
651,Donald Trump,NEW YORK,49
652,Dana Marks,NEW YORK,1
653,Andrew Arthur,NEW YORK,1
654,Jeff Sessions,NEW YORK,3
655,Jennifer Podkul,NEW YORK,1
656,NEW YORK,Podkul,1
657,Dana Marks,Donald Trump,1
658,Andrew Arthur,Donald Trump,1
659,Donald Trump,Jennifer Podkul,1
660,Donald Trump,Podkul,1
661,Andrew Arthur,Dana Marks,1
662,Dana Marks,Jeff Sessions,1
663,Dana Marks,Jennifer Podkul,1
664,Dana Marks,Podkul,1
665,Andrew Arthur,Jeff Sessions,1
666,Andrew Arthur,Jennifer Podkul,1
667,Andrew Arthur,Podkul,1
668,Jeff Sessions,Jennifer Podkul,1
669,Jeff Sessions,Podkul,1
670,Jennifer Podkul,Podkul,1
671,Donald Trump,Jesus Bernal,1
672,Jesus Bernal,Obama,1
673,James Mattis,Jesus Bernal,1
674,Kuczynski,Pedro Pablo Kuczynski,16
675,Kenji Fujimori,Pedro Pablo Kuczynski,1
676,Alberto Fujimori,Pedro Pablo Kuczynski,3
677,Jose Chlimper,Pedro Pablo Kuczynski,1
678,Kenji,Pedro Pablo Kuczynski,3
679,Keiko,Pedro Pablo Kuczynski,1
680,Fujimori,Pedro Pablo Kuczynski,3
681,Guillermo Loli,Pedro Pablo Kuczynski,1
682,Clayton Galvan,Pedro Pablo Kuczynski,1
683,Pedro Pablo Kuczynski,Steve Levitsky,1
684,Levitsky,Pedro Pablo Kuczynski,1
685,Hector Becerril,Pedro Pablo Kuczynski,1
686,Becerril,Pedro Pablo Kuczynski,1
687,Carlos Basombrio,Pedro Pablo Kuczynski,1
688,Kuczynski,Kuczynski,120
689,Kenji Fujimori,Kuczynski,16
690,Alberto Fujimori,Kuczynski,48
691,Jose Chlimper,Kuczynski,16
692,Kenji,Kuczynski,48
693,Keiko,Kuczynski,16
694,Fujimori,Kuczynski,48
695,Guillermo Loli,Kuczynski,16
696,Clayton Galvan,Kuczynski,16
697,Kuczynski,Steve Levitsky,16
698,Kuczynski,Levitsky,16
699,Hector Becerril,Kuczynski,16
700,Becerril,Kuczynski,16
701,Carlos Basombrio,Kuczynski,16
702,Alberto Fujimori,Kenji Fujimori,3
703,Jose Chlimper,Kenji Fujimori,1
704,Kenji,Kenji Fujimori,3
705,Keiko,Kenji Fujimori,1
706,Fujimori,Kenji Fujimori,3
707,Guillermo Loli,Kenji Fujimori,1
708,Clayton Galvan,Kenji Fujimori,1
709,Kenji Fujimori,Steve Levitsky,1
710,Kenji Fujimori,Levitsky,1
711,Hector Becerril,Kenji Fujimori,1
712,Becerril,Kenji Fujimori,1
713,Carlos Basombrio,Kenji Fujimori,1
714,Alberto Fujimori,Jose Chlimper,3
715,Alberto Fujimori,Kenji,9
716,Alberto Fujimori,Keiko,3
717,Alberto Fujimori,Fujimori,9
718,Alberto Fujimori,Guillermo Loli,3
719,Alberto Fujimori,Clayton Galvan,3
720,Alberto Fujimori,Alberto Fujimori,3
721,Alberto Fujimori,Steve Levitsky,3
722,Alberto Fujimori,Levitsky,3
723,Alberto Fujimori,Hector Becerril,3
724,Alberto Fujimori,Becerril,3
725,Alberto Fujimori,Carlos Basombrio,3
726,Jose Chlimper,Kenji,3
727,Jose Chlimper,Keiko,1
728,Fujimori,Jose Chlimper,3
729,Guillermo Loli,Jose Chlimper,1
730,Clayton Galvan,Jose Chlimper,1
731,Jose Chlimper,Steve Levitsky,1
732,Jose Chlimper,Levitsky,1
733,Hector Becerril,Jose Chlimper,1
734,Becerril,Jose Chlimper,1
735,Carlos Basombrio,Jose Chlimper,1
736,Keiko,Kenji,3
737,Kenji,Kenji,3
738,Fujimori,Kenji,9
739,Guillermo Loli,Kenji,3
